IPV4_SRC_ADDR,IPV4_DST_ADDR,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,TCP_FLAGS,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS
104.18.32.47,192.168.1.4,443,41228,6,PA,,29210,10685,80,75,39658
162.159.136.234,192.168.1.4,443,59456,6,PA,,579,1213,8,8,25206
192.168.1.4,74.125.158.233,58304,443,6,FPA,,264,420,4,6,23267
192.168.1.7,224.0.0.251,5353,5353,17,0,,0,3565,0,12,33073
192.168.1.4,142.250.196.67,52296,80,6,PA,,1031,765,5,5,27920
192.168.1.4,142.250.196.67,52278,80,6,PA,,1031,765,5,5,27920
192.168.1.4,142.250.196.67,52286,80,6,FA,,132,198,2,3,3069
192.168.1.4,142.250.196.67,52312,80,6,FA,,132,198,2,3,3069
192.168.1.4,142.250.196.14,34290,443,6,PA,,105,171,1,2,15
192.168.1.4,172.217.163.170,40646,443,6,PA,,105,171,1,2,15
192.168.1.4,142.250.196.42,35472,443,6,PA,,105,171,1,2,15
192.168.1.4,142.250.77.98,34748,443,6,PA,,105,171,1,2,15
192.168.1.4,142.250.182.78,35480,443,6,PA,,105,171,1,2,15
192.168.1.4,34.120.208.123,49740,443,6,PA,,609,1925,6,8,3241
192.168.1.4,216.58.200.145,47900,443,6,PA,,105,171,1,2,15
192.168.1.4,142.250.77.97,38934,443,6,PA,,105,171,1,2,18
192.168.1.4,142.250.71.22,56798,443,6,PA,,105,171,1,2,15
192.168.1.4,192.168.1.1,58310,53,17,0,,132,71,1,1,13
192.168.1.4,192.168.1.1,60745,53,17,0,,128,83,1,1,13
192.168.1.4,192.168.1.1,40005,53,17,0,,178,75,1,1,12
192.168.1.4,192.168.1.1,50265,53,17,0,,155,75,1,1,21
192.168.1.4,192.168.1.1,36600,53,17,0,,179,75,1,1,21
192.168.1.4,192.168.1.1,50761,53,17,0,,152,94,1,1,14
192.168.1.4,104.26.9.74,38862,443,6,SPA,,4096,1398,6,7,160
192.168.1.4,142.250.196.36,55033,443,17,0,,650154,75413,581,119,4096
192.168.1.4,142.250.196.36,49846,443,17,0,,11062,3500,20,20,568
192.168.1.4,104.18.41.33,36300,443,6,PA,,105,171,1,2,15
192.168.1.4,104.18.40.222,33068,443,6,PA,,105,171,1,2,15
192.168.1.4,142.250.195.78,47708,443,17,0,,10307,2726,14,12,142
192.168.1.4,192.168.1.1,52271,53,17,0,,187,105,1,1,12
192.168.1.4,142.250.196.67,54678,443,6,PA,,105,171,1,2,16
192.168.1.4,104.18.39.38,57724,443,6,PA,,105,171,1,2,19
192.168.1.4,104.18.87.42,60174,443,6,PA,,105,171,1,2,16
192.168.1.4,172.64.155.119,51218,443,6,PA,,105,171,1,2,16
192.168.1.4,104.18.35.23,42584,443,6,PA,,105,171,1,2,15
192.168.1.4,104.18.87.42,60166,443,6,PA,,105,171,1,2,19
192.168.1.4,216.58.200.145,34626,443,17,0,,4872,2463,9,5,582
192.168.1.4,142.250.182.78,36366,443,17,0,,14253,4785,19,13,187
192.168.1.4,142.250.77.99,35589,443,17,0,,96652,2785,78,15,90
192.168.1.4,192.168.1.1,52546,53,17,0,,104,88,1,1,17
192.168.1.4,192.168.1.1,53107,53,17,0,,146,75,1,1,16
192.168.1.4,192.168.1.1,39470,53,17,0,,112,75,1,1,16
192.168.1.4,192.168.1.1,59917,53,17,0,,124,75,1,1,19
192.168.1.4,192.168.1.1,45447,53,17,0,,136,86,1,1,19
192.168.1.4,192.168.1.1,55739,53,17,0,,102,86,1,1,18
192.168.1.4,192.168.1.1,41499,53,17,0,,114,86,1,1,18
192.168.1.4,142.250.195.33,38937,443,17,0,,14381,3979,19,15,438
192.168.1.4,192.168.1.1,56669,53,17,0,,127,77,1,1,12
192.168.1.4,142.250.67.74,33114,443,17,0,,4716,4458,9,6,173
192.168.1.4,142.250.195.46,48952,443,6,FSPA,,47016,5276,28,28,293
192.168.1.4,172.217.163.202,51676,443,6,FSPA,,12287,2932,21,20,642
192.168.1.4,172.217.163.202,51684,443,6,FSPA,,36297,5046,25,21,256
192.168.1.4,172.217.163.202,51688,443,6,FSRPA,,10811,1737,8,12,106
192.168.1.4,142.250.195.46,48954,443,6,FSPA,,5303,1804,8,13,195
192.168.1.4,172.217.163.202,35056,443,17,0,,14365,6514,19,13,571
192.168.1.4,142.250.195.46,57582,443,17,0,,10862,2068,13,9,121
192.168.1.4,142.251.12.84,53227,443,17,0,,4568,8115,9,9,222
192.168.1.4,192.168.1.1,34504,53,17,0,,103,75,1,1,12
192.168.1.4,172.217.163.202,57092,443,17,0,,14356,2148,19,10,118
192.168.1.4,142.250.196.14,35251,443,17,0,,6673,11350,18,14,637
192.168.1.4,104.18.32.47,55728,443,6,PA,,1437,4833,6,9,129
192.168.1.5,192.168.1.255,57621,57621,17,0,,0,492,0,6,11162
192.168.1.5,224.0.0.251,5353,5353,17,0,,0,1112,0,11,10117
192.168.1.4,172.64.155.119,41862,443,6,PA,,105,171,1,2,15
192.168.1.4,172.217.31.206,34264,443,6,PA,,105,171,1,2,14
192.168.1.4,142.250.77.97,37846,443,6,PA,,105,171,1,2,15
192.168.1.4,192.168.1.1,47012,53,17,0,,172,88,1,1,15
192.168.1.4,3.233.158.24,59202,443,6,SPA,,3804,1014,4,5,522
192.168.1.4,3.233.158.24,59204,443,6,SPA,,74,882,1,3,259
